,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
304,000507.SZ,20181112,7.0544,7.283,7.0445,7.2631,7.0942,0.16889999999999983,2.3808,129629.51,93613.102
305,000507.SZ,20181109,7.2035,7.2035,7.0644,7.0942,7.2134,-0.1192000000000002,-1.6525,101646.29,72817.355
306,000507.SZ,20181108,7.3326,7.3624,7.2035,7.2134,7.3028,-0.08940000000000037,-1.2242,103817.0,76058.541
307,000507.SZ,20181107,7.3128,7.3823,7.2929,7.3028,7.2929,0.00990000000000002,0.1357,125084.98,92344.128
308,000507.SZ,20181106,7.3326,7.3326,7.2531,7.2929,7.3624,-0.06949999999999967,-0.944,104220.0,76327.443
309,000507.SZ,20181105,7.3227,7.3823,7.2531,7.3624,7.3326,0.029799999999999827,0.4064,154238.39,113673.009
310,000507.SZ,20181102,7.283,7.3724,7.2432,7.3326,7.1836,0.14900000000000002,2.0742,198564.14,145872.956
311,000507.SZ,20181101,7.1637,7.2333,7.1538,7.1836,7.1538,0.029799999999999827,0.4166,160961.98,116632.561
312,000507.SZ,20181031,7.1637,7.1836,7.0942,7.1538,7.1438,0.010000000000000675,0.14,169689.82,122002.564
313,000507.SZ,20181030,7.2333,7.2432,7.0246,7.1438,7.2035,-0.05970000000000031,-0.8288,162005.0,116401.967
314,000507.SZ,20181029,7.4121,7.4221,7.1538,7.2035,7.3823,-0.17879999999999985,-2.422,147071.0,107244.595
315,000507.SZ,20181026,7.5015,7.5711,7.3028,7.3823,7.4519,-0.06960000000000033,-0.934,169714.59,127133.459
316,000507.SZ,20181025,7.3525,7.5711,7.1737,7.4519,7.6506,-0.19869999999999965,-2.5972,262097.05,193721.62
317,000507.SZ,20181024,7.7996,7.8095,7.5612,7.6506,7.9983,-0.34770000000000056,-4.3472,336208.0,259291.969
318,000507.SZ,20181023,8.9323,8.9422,7.889,7.9983,8.7634,-0.7651000000000003,-8.7306,636668.52,535670.396
319,000507.SZ,20181022,8.6044,8.823,8.2269,8.7634,8.4454,0.3180000000000014,3.7654,382944.09,331494.461
320,000507.SZ,20181019,7.9486,8.4454,7.8592,8.4454,8.1176,0.32779999999999987,4.0381,222827.52,184188.298
321,000507.SZ,20181018,8.0977,8.2964,8.0083,8.1176,7.9089,0.20869999999999944,2.6388,288130.82,236434.443
322,000507.SZ,20181017,7.899,7.9983,7.8294,7.9089,7.7996,0.10930000000000017,1.4014,86828.77,69310.428
323,000507.SZ,20181016,7.7499,7.9486,7.7201,7.7996,7.7698,0.029799999999999827,0.3835,93825.02,74261.993
324,000507.SZ,20181015,7.7003,7.9089,7.6804,7.7698,7.6804,0.08940000000000037,1.164,90814.36,71397.293
325,000507.SZ,20181012,7.5413,7.7003,7.2531,7.6804,7.591,0.08939999999999948,1.1777,101036.0,76768.916
326,000507.SZ,20181011,7.9486,7.9486,7.432,7.591,8.1772,-0.5861999999999989,-7.1687,184832.11,142994.367
327,000507.SZ,20181010,8.207,8.207,8.0579,8.1772,8.1772,0.0,0.0,73961.0,60673.611
328,000507.SZ,20181009,8.0977,8.207,7.9983,8.1772,8.0281,0.1490999999999989,1.8572,108323.8,88649.959
329,000507.SZ,20181008,8.0977,8.1772,7.9785,8.0281,8.3461,-0.3179999999999996,-3.8102,136421.78,111032.697
330,000507.SZ,20180928,8.0579,8.3461,8.0579,8.3461,8.0579,0.2881999999999998,3.5766,196265.73,163179.81
331,000507.SZ,20180927,8.1374,8.2368,8.0381,8.0579,8.1672,-0.10929999999999929,-1.3383,93329.5,76313.607
332,000507.SZ,20180926,8.0679,8.2666,8.048,8.1672,8.0381,0.12909999999999933,1.6061,137894.38,113382.877
333,000507.SZ,20180925,8.0182,8.1076,7.9785,8.0381,8.1076,-0.06949999999999967,-0.8572,76682.35,62046.577
334,000507.SZ,20180921,8.0083,8.1076,7.9884,8.1076,8.0083,0.0992999999999995,1.24,93061.01,75505.144
335,000507.SZ,20180920,8.0679,8.1076,7.9586,8.0083,8.0679,-0.05959999999999965,-0.7387,118992.99,96180.761
336,000507.SZ,20180919,7.9387,8.2269,7.8791,8.0679,7.9188,0.1490999999999998,1.8829,175840.87,143497.761
337,000507.SZ,20180918,7.6804,7.9188,7.6804,7.9188,7.74,0.17879999999999985,2.3101,77561.72,61024.703
338,000507.SZ,20180917,7.7996,7.9188,7.7301,7.74,7.9486,-0.20859999999999967,-2.6244,80155.0,62913.093
339,000507.SZ,20180914,7.9188,8.0878,7.8394,7.9486,7.8692,0.07939999999999969,1.009,109339.42,87763.591
340,000507.SZ,20180913,7.8791,7.899,7.7698,7.8692,7.7897,0.07950000000000035,1.0206,52241.0,41202.018
341,000507.SZ,20180912,7.8095,7.8394,7.74,7.7897,7.7897,0.0,0.0,45502.0,35728.059
342,000507.SZ,20180911,7.7301,7.8493,7.6704,7.7897,7.7003,0.08939999999999948,1.161,49312.61,38533.459
343,000507.SZ,20180910,7.8294,7.889,7.6605,7.7003,7.8692,-0.16889999999999983,-2.1463,93804.47,73178.511
344,000507.SZ,20180907,7.9288,7.9884,7.7897,7.8692,7.8692,0.0,0.0,78046.85,62012.764
345,000507.SZ,20180906,7.9685,8.0281,7.8592,7.8692,7.9685,-0.0992999999999995,-1.2462,72409.36,57864.943
346,000507.SZ,20180905,8.0579,8.0878,7.9586,7.9685,8.1176,-0.1490999999999998,-1.8367,75018.23,60467.995
347,000507.SZ,20180904,8.048,8.197,7.9785,8.1176,8.0977,0.019899999999999807,0.2457,78910.33,64213.59
348,000507.SZ,20180903,7.9884,8.0977,7.9387,8.0977,8.048,0.04969999999999963,0.6175,55078.54,44400.952
349,000507.SZ,20180831,8.1374,8.1672,7.9785,8.048,8.1672,-0.1191999999999993,-1.4595,70402.52,57103.813
350,000507.SZ,20180830,8.2567,8.4057,8.1474,8.1672,8.2865,-0.11930000000000085,-1.4397,83908.0,69933.986
351,000507.SZ,20180829,8.3461,8.366,8.2765,8.2865,8.3361,-0.049599999999999866,-0.595,59637.5,49857.373
352,000507.SZ,20180828,8.356,8.4057,8.2765,8.3361,8.3262,0.00990000000000002,0.1189,99452.76,83479.441
353,000507.SZ,20180827,8.1474,8.3461,8.1076,8.3262,8.1672,0.1590000000000007,1.9468,100049.12,83081.967
354,000507.SZ,20180824,8.0878,8.197,8.0381,8.1672,8.0679,0.0992999999999995,1.2308,89478.97,73219.769
355,000507.SZ,20180823,7.9983,8.1176,7.9785,8.0679,7.9884,0.07949999999999946,0.9952,69971.76,56734.582
356,000507.SZ,20180822,8.1176,8.1176,7.9785,7.9884,8.1275,-0.1390999999999991,-1.7115,92140.23,74536.296
357,000507.SZ,20180821,8.1176,8.1871,8.0083,8.1275,8.1275,0.0,0.0,106515.28,87124.892
358,000507.SZ,20180820,8.0679,8.1374,7.8493,8.1275,8.0878,0.039699999999999847,0.4909,137450.51,110481.564
359,000507.SZ,20180817,8.4951,8.5349,8.0878,8.0878,8.3958,-0.30799999999999983,-3.6685,171252.1,143077.238
360,000507.SZ,20180816,8.5845,8.5845,8.2765,8.3958,8.7634,-0.36760000000000126,-4.1947,285444.3,241741.353
361,000507.SZ,20180815,9.0913,9.1211,8.6938,8.7634,9.0416,-0.2782,-3.0769,281190.11,250204.782
362,000507.SZ,20180814,8.6442,9.2701,8.6442,9.0416,8.7435,0.2981000000000016,3.4094,428364.24,387052.571
363,000507.SZ,20180813,8.3461,8.7435,8.3063,8.7435,8.4951,0.2483999999999984,2.924,397246.86,343943.799
364,000507.SZ,20180810,8.197,8.5945,8.1573,8.4951,8.197,0.2981000000000016,3.6367,173499.2,146649.244
365,000507.SZ,20180809,7.9884,8.197,7.9486,8.197,8.0182,0.17879999999999896,2.2299,127063.16,104101.239
366,000507.SZ,20180808,7.9884,8.1176,7.9387,8.0182,8.0182,0.0,0.0,116879.0,94454.899
367,000507.SZ,20180807,7.74,8.0281,7.7102,8.0182,7.7003,0.31789999999999985,4.1284,125310.34,99584.447
368,000507.SZ,20180806,7.9288,8.048,7.6108,7.7003,7.9785,-0.2782,-3.4869,135003.0,106169.831
369,000507.SZ,20180803,8.0281,8.1076,7.8692,7.9785,7.9785,0.0,0.0,100606.08,81191.817
370,000507.SZ,20180802,8.2567,8.2765,7.8195,7.9785,8.366,-0.3874999999999993,-4.6318,168975.01,136107.161
371,000507.SZ,20180801,8.4057,8.5647,8.3361,8.366,8.4454,-0.07939999999999969,-0.9402,126915.34,107733.772
372,000507.SZ,20180731,8.356,8.4653,8.2865,8.4454,8.366,0.07939999999999969,0.9491,103448.27,87261.877
