date,code,open,high,low,close,volume,amount,adjustflag,turn,pctChg
2015-05-29,sz.002269,8.3621580000,11.8600000000,7.9281221800,11.8600000000,1453049499,16830348782.0000,2,70.813550,41.896917
2015-06-30,sz.002269,11.8600000000,11.8600000000,11.8600000000,11.8600000000,0,0.0000,2,0.000000,0.000000
2015-07-31,sz.002269,11.8600000000,11.8600000000,7.0000000000,8.7900000000,2330763869,20735363136.0000,2,92.766721,-25.885329
2015-08-31,sz.002269,8.6100000000,13.3700000000,6.4400000000,7.0100000000,2003054967,20810938678.0000,2,79.723581,-20.250284
2015-09-30,sz.002269,6.6200000000,6.7900000000,5.0400000000,5.4600000000,917478196,5352544480.0000,2,36.516545,-22.111270
2015-10-30,sz.002269,5.6500000000,7.6400000000,5.5300000000,6.6400000000,1071464876,7146039790.0000,2,42.645368,21.611722
2015-11-30,sz.002269,6.2200000000,7.3600000000,5.7000000000,6.2200000000,943778877,6235221164.0000,2,37.563338,-6.325301
2015-12-31,sz.002269,6.2200000000,7.1000000000,6.0000000000,6.7100000000,824425584,5451939838.0000,2,32.812959,7.877814
2016-01-29,sz.002269,6.6700000000,6.7100000000,5.5300000000,6.0700000000,81890328,494889648.0000,2,3.259317,-9.538003
2016-02-29,sz.002269,5.4600000000,5.4600000000,3.9200000000,3.9800000000,477154334,2281594216.0000,2,18.991217,-34.431631
2016-03-31,sz.002269,3.9900000000,5.5100000000,3.9000000000,4.9700000000,795880213,3835258192.0000,2,31.676824,24.874372
2016-04-29,sz.002269,4.9800000000,5.2800000000,4.4500000000,4.5500000000,437641691,2151438236.0000,2,17.418575,-8.450704
2016-05-31,sz.002269,4.6000000000,4.8500000000,4.0000000000,4.7600000000,398064983,1801901436.0000,2,15.843382,4.615385
2016-06-30,sz.002269,4.7500000000,4.8500000000,4.1500000000,4.4000000000,341381250,1551516732.0000,2,13.587313,-7.563025
2016-07-29,sz.002269,4.4100000000,4.6100000000,4.2500000000,4.2700000000,296609937,1332221684.0000,2,11.805371,-2.954545
2016-08-31,sz.002269,4.2500000000,4.5400000000,4.1900000000,4.3100000000,234101103,1016328808.0000,2,9.317457,0.936768
2016-09-30,sz.002269,4.3100000000,4.3900000000,4.0600000000,4.2000000000,174940911,742594856.0000,2,6.962822,-2.552204
2016-10-31,sz.002269,4.2100000000,4.3300000000,4.1800000000,4.3000000000,173440603,739207706.0000,2,6.903109,2.380952
2016-11-30,sz.002269,4.3000000000,5.4300000000,4.1800000000,4.6700000000,804104322,3793141734.0000,2,32.004152,8.604651
2016-12-30,sz.002269,4.6700000000,5.3800000000,4.3200000000,5.0100000000,677967076,3273417578.0000,2,26.983764,7.280514
2017-01-26,sz.002269,5.0100000000,5.5900000000,4.5400000000,4.8500000000,598859386,3062126486.0000,2,23.835199,-3.193613
2017-02-28,sz.002269,4.8500000000,5.4700000000,4.7800000000,5.0800000000,400102574,2026468484.0000,2,15.924481,4.742268
